iter	RMSE
150	3583.30341
151	3579.739925
152	3577.751992
153	3572.047457
154	3566.343877
155	3559.380377
156	3551.510617
157	3544.585999
158	3539.029325
159	3534.516378
160	3531.313959
161	3528.350431
162	3524.896109
163	3522.750615
164	3519.327753
165	3513.763035
166	3506.728793
167	3503.690428
168	3498.95631
169	3495.641531
170	3491.065507
171	3483.864558
172	3476.704704
173	3468.68501
174	3462.896587
175	3458.482886
176	3456.636573
177	3451.442442
178	3440.638003
179	3436.749026
180	3433.403449
181	3424.009539
182	3422.235949
183	3418.227159
184	3415.931115
185	3413.393979
186	3404.730992
187	3401.977502
188	3395.984457
189	3394.025568
190	3386.640271
191	3380.521433
192	3373.457768
193	3370.554834
194	3365.8232
195	3356.706138
196	3349.728877
197	3345.088353
198	3342.895495
199	3339.307924
200	3336.072372
201	3333.018777
202	3330.258345
203	3324.925097
204	3321.427343
205	3316.956117
206	3315.982243
207	3313.001183
208	3312.385542
209	3310.306813
210	3306.899199
211	3304.483834
212	3302.552772
213	3300.981023
214	3293.359445
215	3291.835056
216	3285.988785
217	3280.650156
218	3278.577287
219	3271.257368
220	3266.056924
221	3262.888644
222	3256.138211
223	3254.185689
224	3246.843579
225	3243.150353
226	3239.386192
227	3238.254509
228	3235.32739
229	3232.606199
230	3230.978623
231	3227.748257
232	3222.375597
233	3221.456689
234	3215.208247
235	3214.390803
236	3208.301131
237	3203.636812
238	3197.184185
239	3195.561115
240	3189.887049
241	3186.252712
242	3184.660039
243	3179.094333
244	3171.695921
245	3165.659053
246	3157.779198
247	3152.917412
248	3151.647347
249	3150.273463
250	3148.462899
251	3143.333172
252	3138.221068
253	3137.576648
254	3133.51464
255	3132.686964
256	3132.192629
257	3130.390545
258	3126.917871
259	3125.12489
260	3123.650297
261	3121.844326
262	3119.467689
263	3117.404067
264	3116.333575
265	3115.118615
266	3114.852466
267	3111.721367
268	3109.496816
269	3106.420494
270	3103.37095
271	3097.203777
272	3089.194372
273	3088.174921
274	3086.684712
275	3084.727581
276	3080.218859
277	3077.025024
278	3075.580629
279	3072.843452
280	3070.011579
281	3066.231061
282	3063.153966
283	3061.803124
284	3060.007721
285	3052.811293
286	3051.827634
287	3047.152626
288	3043.491757
289	3038.290707
290	3034.817699
291	3028.774495
292	3023.689557
293	3018.901378
294	3017.143236
295	3016.439748
296	3014.950774
297	3011.650894
298	3005.756284
299	3000.605452
300	2999.562635
301	2998.250592
302	2994.026924
303	2991.270603
304	2990.014692
305	2987.188996
306	2986.129844
307	2983.810973
308	2981.705944
309	2980.654289
310	2979.47387
311	2971.098885
312	2970.204319
313	2968.311344
314	2965.266935
315	2964.406001
316	2962.065779
317	2961.04637
318	2957.04673
319	2955.952075
320	2951.201233
321	2944.9753
322	2944.079087
323	2942.402132
324	2939.846415
325	2935.86908
326	2929.893845
327	2924.861072
328	2922.712622
329	2917.527708
330	2916.387601
331	2912.709345
332	2911.452153
333	2911.195337
334	2909.350574
335	2905.014756
336	2899.502192
337	2896.989776
338	2895.100256
339	2892.164059
340	2887.268412
341	2885.723116
342	2878.493414
343	2877.38826
344	2874.442598
345	2870.310254
346	2868.933953
347	2867.214647
348	2864.746503
349	2862.695974
350	2860.780885
351	2858.11864
352	2853.178459
353	2849.161014
354	2847.204946
355	2845.643857
356	2840.556914
357	2836.377501
358	2836.197728
359	2835.51694
360	2831.015156
361	2825.923034
362	2822.475164
363	2818.869009
364	2818.036377
365	2812.762145
366	2807.978618
367	2806.95756
368	2803.726813
369	2801.163617
370	2796.52276
371	2791.137921
372	2787.06231
373	2784.816319
374	2777.335178
375	2775.740815
376	2771.556213
377	2768.669352
378	2765.824633
379	2761.314298
380	2759.804284
381	2758.1718
382	2754.650605
383	2751.101366
384	2745.5347
385	2743.000876
386	2736.297546
387	2734.637674
388	2730.742708
389	2729.355598
390	2722.024229
391	2717.67317
392	2716.431753
393	2715.182502
394	2713.233592
395	2709.749511
396	2708.128247
397	2705.517511
398	2703.508986
399	2699.304259
400	2697.154994
401	2695.964274
402	2694.132551
403	2692.670991
404	2687.028964
405	2685.939858
406	2684.849814
407	2680.752328
408	2676.975351
409	2672.764286
410	2670.646403
411	2668.023981
412	2667.071433
413	2664.530695
414	2663.819465
415	2660.072986
416	2657.723899
417	2655.767975
418	2653.402225
419	2652.114871
420	2650.873349
421	2650.673297
422	2647.821793
423	2643.155529
424	2641.417968
425	2639.953138
426	2637.323016
427	2635.495365
428	2634.560019
429	2632.516264
430	2628.384487
431	2627.673699
432	2624.728845
433	2622.421791
434	2618.866808
435	2617.891234
436	2616.489326
437	2616.029613
438	2613.836542
439	2610.698335
440	2607.170743
441	2605.196175
442	2603.597031
443	2602.496259
444	2599.541984
445	2598.508328
446	2598.366641
447	2591.667672
448	2590.010062
449	2589.537913
450	2581.954254
451	2581.680483
452	2578.250143
453	2575.374814
454	2574.038454
455	2573.061668
456	2572.515241
457	2571.396245
458	2569.573025
459	2568.598571
460	2567.443408
461	2565.249173
462	2562.791608
463	2560.785809
464	2557.356095
465	2554.829962
466	2554.102701
467	2552.74593
468	2550.276173
469	2548.637162
470	2548.112329
471	2544.117475
472	2540.309418
473	2537.682173
474	2535.673452
475	2532.480108
476	2531.378733
477	2529.489111
478	2527.090101
479	2524.913999
480	2524.008745
481	2523.484348
482	2522.683121
483	2516.846654
484	2514.813724
485	2511.885891
486	2509.298296
487	2507.97259
488	2507.531326
489	2504.774454
490	2503.13799
491	2501.271357
492	2499.088482
493	2496.901388
494	2496.212967
495	2494.281003
496	2491.391556
497	2489.684698
498	2488.734751
499	2487.075858
500	2482.613617
501	2480.679974
502	2476.985351
503	2475.318906
504	2474.438665
505	2469.281502
506	2464.781201
507	2463.0773
508	2462.625223
509	2458.17802
510	2456.391344
511	2454.250725
512	2452.165537
513	2450.576122
514	2448.577384
515	2446.69824
516	2445.418345
517	2443.414289
518	2442.44653
519	2439.675452
520	2438.199001
521	2436.385566
522	2434.657847
523	2431.765447
524	2429.911863
525	2428.445162
526	2426.551531
527	2425.319487
528	2424.004919
529	2422.948705
530	2421.470245
531	2417.946714
532	2413.377194
533	2411.825812
534	2408.010264
535	2406.397694
536	2403.439484
537	2400.701781
538	2398.079936
539	2395.673702
540	2394.082944
541	2392.138053
542	2390.551888
543	2388.083062
544	2386.011082
545	2385.075449
546	2382.616923
547	2380.854091
548	2378.802485
549	2378.420757
550	2376.965611
551	2375.06127
552	2371.613603
553	2369.936727
554	2364.482787
555	2362.761925
556	2360.372991
557	2355.117816
558	2353.231884
559	2351.327707
560	2349.488542
561	2348.082759
562	2345.99084
563	2343.308586
564	2341.464151
565	2339.38024
566	2338.382146
567	2336.586995
568	2333.130408
569	2332.028543
570	2330.133019
571	2329.279598
572	2327.896916
573	2325.892317
574	2325.034368
575	2322.542184
576	2320.224773
577	2318.918894
578	2318.285153
579	2316.516568
580	2314.383545
581	2310.546047
582	2309.532267
583	2308.564077
584	2308.072559
585	2302.229605
586	2300.098857
587	2298.421786
588	2296.243929
589	2294.560638
590	2292.387959
591	2291.121609
592	2290.53571
593	2289.002499
594	2288.132278
595	2284.684759
596	2281.579988
597	2279.489635
598	2277.802371
599	2275.804946
600	2274.244779
601	2273.357153
602	2270.579846
603	2267.039593
604	2265.569491
605	2264.460125
606	2263.123684
607	2261.028729
608	2260.676781
609	2258.474804
610	2257.940036
611	2256.066059
612	2253.07172
613	2251.625567
614	2249.911269
615	2247.647294
616	2245.492022
617	2242.709618
618	2241.793066
619	2238.804953
620	2237.069575
621	2233.845706
622	2230.333845
623	2229.990749
624	2228.563741
625	2226.49972
626	2224.813731
627	2221.568971
628	2219.94963
629	2217.293326
630	2216.941324
631	2215.611078
632	2212.537745
633	2210.977989
634	2207.973274
635	2206.316482
636	2203.332518
637	2202.385056
638	2200.983687
639	2198.354437
640	2195.908757
641	2195.430328
642	2194.694931
643	2193.264343
644	2191.498015
645	2189.833263
646	2189.277682
647	2188.181674
648	2186.291015
649	2185.092148
650	2181.73061
651	2179.606688
652	2178.232454
653	2177.226645
654	2176.221568
655	2174.250668
656	2172.848582
657	2171.701836
658	2170.679204
659	2169.762612
660	2169.088476
661	2165.003043
662	2164.177117
663	2162.414146
664	2161.088283
665	2160.230066
666	2157.25776
667	2154.818345
668	2151.010618
669	2150.011533
670	2146.347568
671	2143.581382
672	2142.418564
673	2137.182593
674	2136.362083
675	2133.668018
676	2132.934113
677	2131.486296
678	2130.304848
679	2129.403628
680	2127.760116
681	2127.243571
682	2125.776615
683	2122.433524
684	2121.20454
685	2119.880282
686	2118.699709
687	2117.202549
688	2116.570445
689	2115.929451
690	2114.62437
691	2110.656872
692	2107.124072
693	2105.253462
694	2101.703598
695	2100.923223
696	2100.146838
697	2098.40867
698	2096.368893
699	2094.983307
700	2093.369583
701	2090.673442
702	2089.50529
703	2087.423087
704	2085.30357
705	2080.575091
706	2078.974428
707	2078.305241
708	2076.813891
709	2073.861147
710	2072.361174
711	2069.887472
712	2069.107284
713	2067.866786
714	2063.665345
715	2062.444698
716	2061.039464
717	2059.719105
718	2058.407158
719	2057.287857
720	2055.480737
721	2052.759279
722	2051.855568
723	2050.696814
724	2046.154701
725	2044.652321
726	2043.345041
727	2038.842842
728	2037.184974
729	2036.587748
730	2036.087284
731	2035.39758
732	2031.823015
733	2031.110455
734	2028.99258
735	2028.064625
736	2026.670521
737	2023.520509
738	2020.339905
739	2015.632818
740	2014.222803
741	2012.633619
742	2011.772242
743	2007.580507
744	2006.187048
745	2005.223908
746	2004.622544
747	2003.94213
748	2003.314342
749	2002.812784
750	2000.059447
751	1999.557842
752	1998.229434
753	1997.386047
754	1994.920456
755	1993.727795
756	1992.648806
757	1991.938224
758	1990.802406
759	1989.538149
760	1987.240035
761	1986.163704
762	1984.91466
763	1981.158005
764	1980.440614
765	1978.131594
766	1977.586352
767	1975.874549
768	1974.706773
769	1974.20247
770	1972.863781
771	1972.196532
772	1971.70288
773	1970.846807
774	1970.2232
775	1968.408321
776	1967.039218
777	1964.453256
778	1963.458926
779	1962.213912
780	1960.314715
781	1958.36454
782	1955.995736
783	1954.489138
784	1950.299554
785	1948.05254
786	1947.437459
787	1946.825662
788	1943.337805
789	1941.6754
790	1940.618361
791	1937.199732
792	1936.128344
793	1935.029608
794	1934.208301
795	1932.509512
796	1930.981651
797	1927.968052
798	1927.417286
799	1925.087831
800	1923.764742
801	1919.639256
802	1918.647237
803	1916.192343
804	1914.188764
805	1912.929647
806	1912.486934
807	1911.974877
808	1910.981597
809	1910.010826
810	1908.880443
811	1906.438085
812	1904.999428
813	1903.792657
814	1902.485371
815	1901.074416
816	1900.629849
817	1898.186656
818	1896.01153
819	1893.684074
820	1892.429247
821	1891.992183
822	1891.577849
823	1889.666103
824	1888.183204
825	1885.959916
826	1884.964194
827	1883.658147
828	1882.746434
829	1880.725325
830	1880.229176
831	1878.531418
832	1877.642683
833	1876.22535
834	1874.996351
835	1874.1457
836	1873.116276
837	1872.636907
838	1870.928262
839	1868.00428
840	1866.570942
841	1865.478311
842	1864.54892
843	1863.724084
844	1863.172202
845	1861.979284
846	1860.978527
847	1858.440011
848	1856.693357
849	1855.805496
850	1855.024274
851	1853.906167
852	1853.490275
853	1852.888443
854	1849.894677
855	1848.83332
856	1848.204531
857	1846.260718
858	1845.665992
859	1843.642078
860	1842.337983
861	1839.641132
862	1838.50784
863	1837.296916
864	1836.067628
865	1835.050773
866	1833.810632
867	1831.31191
868	1830.036025
869	1829.562276
870	1827.650189
871	1823.577744
872	1821.787787
873	1820.615656
874	1819.388447
875	1817.566646
876	1817.364409
877	1816.878669
878	1815.975503
879	1815.217589
880	1813.547158
881	1812.816521
882	1810.303359
883	1809.042738
884	1805.462052
885	1804.452552
886	1803.643672
887	1801.613556
888	1800.673118
889	1799.889835
890	1798.940981
891	1798.746668
892	1797.662578
893	1795.934907
894	1795.570932
895	1794.607899
896	1793.864598
897	1793.261348
898	1791.845953
899	1791.000283
900	1787.508978
901	1786.508215
902	1784.913993
903	1784.079534
904	1782.597932
905	1781.098809
906	1779.556742
907	1775.782463
908	1775.084047
909	1774.781942
910	1773.904987
911	1773.264636
912	1772.060961
913	1770.852372
914	1768.149859
915	1767.725242
916	1766.969218
917	1765.421688
918	1762.495579
919	1761.595736
920	1760.967208
921	1759.343761
922	1758.499179
923	1756.929514
924	1756.532536
925	1755.644344
926	1753.814257
927	1752.752505
928	1750.423865
929	1746.606004
930	1745.407891
931	1744.392734
932	1742.493166
933	1741.266118
934	1738.171455
935	1735.605571
936	1733.985589
937	1733.285171
938	1732.435339
939	1731.317017
940	1730.628159
941	1729.167542
942	1728.044012
943	1725.557003
944	1724.95707
945	1724.048472
946	1723.395648
947	1721.641438
948	1720.837428
949	1720.568018
950	1719.861113
951	1718.747832
952	1718.056846
953	1717.786785
954	1714.862298
955	1713.174425
956	1712.293766
957	1709.452765
958	1707.907665
959	1705.942237
960	1703.283728
961	1702.478708
962	1700.597977
963	1700.165979
964	1699.324336
965	1698.763275
966	1697.431017
967	1696.093605
968	1694.63549
969	1694.455602
970	1691.916615
971	1689.477356
972	1688.826118
973	1688.10394
974	1687.045202
975	1686.59257
976	1685.697822
977	1685.63711
978	1685.001843
979	1683.059664
980	1682.888567
981	1682.755299
982	1681.272389
983	1680.760873
984	1679.32345
985	1678.467429
986	1677.691086
987	1677.542379
988	1675.566867
989	1674.878567
990	1671.925181
991	1671.341264
992	1669.55823
993	1668.579896
994	1667.329736
995	1665.560381
996	1664.802263
997	1664.202089
998	1663.416836
999	1661.316651
